id,cancel_pol,room_cat,Family_Friendly,Pets_Allowed,Smoking_Allowed,Events_Allowed,rev_rating,rev_acc,rev_clean,rev_check,rev_comm,rev_loc,rev_val,host_responsetime,host_response_rate,host_is_superhost,host_listings_count,property_type,accommodates,bathrooms,bedrooms,beds,security_deposit,cleaning_fee,guests_included,extra_people,number_of_reviews,review_scores_value,reviews_per_month,len_desc,len_experiences,len_summary,len_rules,NearbyAssault,NearbyBikeShare,NearbyClassASexOffenders,NearbyGunShots,NearbyHomicide,NearbyMetros,NearbyMuseums,NearbySexCrime,NearbySexOffenders,Closest_BikeShare,Closest_Metro,Closest_Museum,Closest_SexCrime,Closest_SexOffender,Closest_Arson,Closest_Assault,Closest_GunShot,Closest_Homicide,Closest_ClassA_SexOffender,AvgNightlyPrice,AvgNightlyAdjusted_price,MinNightlyprice,MinNightlyAdjusted_price,MaxNightlyprice,MaxNightlyAdjusted_price,Basic_Amenities,deluxe_amenities,Total_Amenities
3120624,0,3,1,0,0,0,95,10,10,10,10,9,10,4,1,0,1,Apartment,2,1,0,1,0,50,2,50,134,10,2.33,1000,4,240,,60,13,6,36,2,3,2,5,26,0.0634,0.3824,0.1992,0.1583,0.0658,3.19,0.0656,0.0572,0.2742,0.1057,$92.17,$92.17,$85.00,$85.00,$97.00,$97.00,4,1,10
3121122,0,3,1,0,0,0,100,10,10,10,10,9,10,0,,0,3,Townhouse,8,4,4,4,100,130,4,25,9,10,0.18,1000,4,277,84,17,2,8,28,2,,1,3,19,0.2937,0.5672,0.4291,0.2236,0.1098,3.8221,0.1587,0.1645,0.1442,0.1098,$75.00,$75.00,$75.00,$75.00,$75.00,$75.00,3,2,10
3125138,3,3,0,0,0,0,98,10,10,10,10,10,10,0,,1,1,Townhouse,2,1,1,1,0,50,2,50,153,10,2.69,1000,4,443,624,8,10,5,18,,8,5,,14,0.1257,0.1767,0.2651,0.761,0.1654,1.9931,0.1628,0.1549,1.3962,0.1654,$128.93,$128.93,$99.00,$99.00,$151.00,$151.00,4,1,10
3125317,4,2,1,0,0,0,90,9,9,10,10,9,9,4,0.75,1,2,House,1,2,1,3,,35,1,15,14,9,0.28,250,4,250,,5,,4,,,,,,7,0.8074,0.7963,1.3325,0.9201,0.1682,3.9419,0.3979,0.9314,1.563,0.2341,$48.23,$48.23,$35.00,$35.00,$57.00,$57.00,3,1,7
3136813,3,3,1,0,0,0,96,10,10,10,10,10,10,4,1,1,1,Guest suite,4,1,1,3,150,50,2,50,75,10,3.09,1000,4,386,396,30,16,11,15,,5,4,4,29,0.141,0.3627,0.2417,0.0729,0.0323,2.5918,0.1215,0.0813,0.5175,0.2101,$146.96,$146.96,$125.00,$125.00,$168.00,$168.00,3,2,12
3147049,0,3,1,0,0,0,96,10,10,10,10,10,9,4,1,1,2,Apartment,5,2,2,2,500,100,1,0,192,9,3.43,1000,4,240,473,54,14,16,31,2,3,2,5,37,0.1017,0.1149,0.1541,0.1211,0.0197,3.3675,0.0195,0.0782,0.0841,0.1206,$201.01,$201.01,$165.00,$165.00,$223.00,$223.00,3,3,12
3155265,0,3,1,0,0,0,89,10,10,10,9,9,9,4,0.99,0,5,Apartment,3,1,1,1,,,1,0,324,9,6.23,1000,4,246,,33,9,13,45,2,1,,6,30,0.1823,0.4845,0.8723,0.2301,0.1052,1.7114,0.0668,0.0151,0.2993,0.1558,$118.99,$118.99,$100.00,$100.00,$130.00,$130.00,4,1,13
3165924,3,3,0,0,0,0,100,10,9,9,9,10,9,0,,0,1,Apartment,3,1,1,1,0,15,1,0,3,9,0.05,1000,4,162,75,12,18,7,,,2,2,4,17,0.026,0.0663,0.3045,0.1388,0.0788,3.492,0.0788,1.374,0.7232,0.1284,$91.69,$91.69,$90.00,$90.00,$99.00,$99.00,4,1,12
3172443,3,3,1,0,0,0,94,9,9,10,10,10,9,4,1,0,3,Apartment,5,1,1,3,250,75,2,15,143,9,2.63,1000,4,405,731,15,14,8,6,,4,2,1,24,0.0964,0.3598,0.4345,0.4731,0.1811,0.8404,0.0824,0.3558,0.6409,0.1923,$132.16,$132.16,$58.00,$58.00,$152.00,$152.00,4,2,13
3173259,3,3,1,0,0,0,94,10,10,10,10,10,9,4,1,0,1,Apartment,3,1,1,1,175,95,2,25,174,9,3.09,1000,4,248,881,21,15,15,4,,,6,6,31,0.0796,0.5157,0.1314,0.2123,0.0378,2.6328,0.0557,0.1942,0.5085,0.1813,$138.28,$138.28,$79.00,$79.00,$152.00,$152.00,3,1,10
